시도,시군구,합계,맑음,흐림,비,안개,눈,기타,미분류
대구,서구,14,14,0,0,-,0,0,0
대구,남구,10,8,1,1,-,0,0,0
대구,북구,25,23,1,1,-,0,0,0
대구,수성구,21,20,0,1,-,0,0,0
대구,달서구,20,18,1,1,0,0,0,0
대구,달성군,30,27,3,0,0,0,0,0
인천,합계,105,90,5,6,1,2,1,0
인천,중구,8,7,0,1,0,0,0,0
인천,동구,1,1,0,0,0,0,0,0
인천,남구,15,15,0,0,0,0,0,0
인천,부평구,12,11,0,1,0,0,0,0
인천,남동구,21,18,2,1,0,0,0,0
인천,서구,21,17,1,1,-,2,0,0
인천,연수구,4,2,1,1,0,0,0,0
인천,계양구,7,6,0,1,0,0,0,0
인천,강화군,11,9,0,0,1,0,1,0
인천,옹진군,5,4,1,0,-,-,0,0
광주,합계,120,91,13,14,0,1,1,0
광주,동구,12,9,1,2,0,0,0,0
광주,서구,25,16,3,5,0,0,1,0
광주,북구,34,22,6,5,0,1,0,0
광주,광산구,34,31,2,1,0,0,0,0
광주,남구,15,13,1,1,0,0,0,0
대전,합계,86,76,9,1,0,0,0,0
대전,동구,25,22,3,0,-,0,0,0
대전,중구,13,11,2,0,0,0,0,0
대전,서구,20,18,1,1,0,0,0,0
대전,유성구,10,10,0,0,0,0,0,0
대전,대덕구,18,15,3,0,0,0,0,0
울산,합계,64,58,2,4,0,0,0,0
울산,중구,8,7,1,0,-,0,0,0
