국적명,성별,전문학사(D-2-1),학사유학(D-2-2),석사유학(D-2-3),박사유학(D-2-4),연구유학(D-2-5),교환학생(D-2-6),일-학습연계 유학(D-2-7),단기유학(D-2-8),대학부설어학원연수(D-4-1),외국어연수(D-4-7)
체      코,남,0,1,0,1,0,14,0,0,1,0
체      코,여,0,2,5,1,0,11,2,0,1,0
불 가 리 아,남,0,2,3,1,0,2,2,1,2,0
불 가 리 아,여,0,7,10,1,0,5,5,0,5,0
아제르바이잔,남,0,14,5,3,0,2,1,0,5,0
아제르바이잔,여,0,1,16,2,1,4,3,0,3,0
크로아티아,남,0,0,1,2,0,0,1,0,0,0
크로아티아,여,0,1,3,0,0,1,2,0,1,0
세르비아,남,0,0,1,2,0,0,0,0,2,0
세르비아,여,0,0,2,2,0,0,2,0,2,0
리투아니아,남,0,5,2,1,0,9,2,0,1,0
리투아니아,여,0,4,3,0,0,9,0,0,2,0
아르메니아,남,0,0,1,0,0,0,0,0,1,0
아르메니아,여,0,1,2,0,0,1,1,0,3,0
슬로바키아,남,0,1,1,2,0,3,1,0,2,0
슬로바키아,여,0,1,5,0,0,0,2,0,3,0
몰  도  바,남,0,0,1,0,0,3,0,0,0,0
몰  도  바,여,0,1,6,1,0,3,0,0,4,0
라 트 비 아,남,0,0,1,1,0,1,1,0,0,0
라 트 비 아,여,0,0,1,0,0,4,1,0,1,0
조 지 아,남,0,1,0,0,0,0,0,0,0,0
조 지 아,여,0,1,7,0,0,1,1,0,1,0
슬로베니아,남,0,0,0,0,0,0,0,0,1,0
슬로베니아,여,0,1,2,0,0,8,1,0,0,0
알 바 니 아,남,0,0,0,1,0,1,0,0,2,0
알 바 니 아,여,0,0,1,1,0,0,0,0,1,0
에스토니아,남,0,1,1,0,0,1,0,0,0,0
에스토니아,여,0,1,3,0,0,1,0,0,2,0
아이슬란드,남,0,0,2,0,0,2,0,0,0,0
아이슬란드,여,0,0,1,0,0,1,0,0,1,0
룩셈부르크,남,0,0,0,0,0,0,0,0,0,0
룩셈부르크,여,0,2,1,0,0,1,0,0,0,0
(영국 외지민),남,0,0,0,0,0,0,0,0,0,0
(영국 외지민),여,0,0,1,0,0,0,0,0,0,0
마케도니아,남,0,0,0,0,0,1,0,2,0,0
마케도니아,여,0,0,0,0,0,0,0,0,0,0
몬테네그로,남,0,0,0,0,0,0,0,0,1,0
몬테네그로,여,0,0,1,0,0,0,0,0,0,0
보스니아-헤르체고비나,남,0,0,0,0,0,0,0,0,0,0
보스니아-헤르체고비나,여,0,0,0,0,0,1,0,0,0,0
코소보,남,0,0,0,0,0,0,0,0,0,0
코소보,여,0,0,0,0,0,0,0,1,0,0
오스트레일리아,남,0,8,3,0,1,25,0,4,4,0
오스트레일리아,여,0,3,2,1,0,38,1,0,9,0
뉴 질 랜 드,남,0,1,3,0,0,1,0,0,3,0
뉴 질 랜 드,여,0,0,1,0,0,5,0,0,0,0
피      지,남,0,1,7,1,0,0,0,0,0,0
피      지,여,0,0,4,0,0,0,0,0,1,0
파푸아뉴기니,남,0,0,4,0,0,0,0,0,0,0
파푸아뉴기니,여,0,0,1,0,0,0,0,0,0,0
팔  라  우,남,0,0,0,0,0,0,0,0,1,0
팔  라  우,여,0,0,0,0,0,0,0,0,0,0
솔로몬군도,남,0,0,4,0,0,0,0,0,0,0
솔로몬군도,여,0,0,2,0,0,0,0,0,0,0
키 리 바 시,남,0,0,0,0,0,0,0,0,2,0
키 리 바 시,여,0,0,0,0,0,0,0,0,0,0
이  집  트,남,0,9,28,34,0,0,0,0,17,0
이  집  트,여,0,5,19,10,0,4,2,0,2,0
나이지리아,남,3,26,96,32,0,0,7,2,23,0
나이지리아,여,0,9,28,5,0,0,2,0,5,0
남아프리카 공화국,남,0,4,6,1,0,0,0,2,2,0
남아프리카 공화국,여,0,5,4,0,0,0,0,1,2,0
가      나,남,0,20,194,45,0,0,2,1,36,0
가      나,여,0,3,38,8,0,0,4,0,6,0
카  메  룬,남,0,52,111,50,0,2,2,0,53,0
카  메  룬,여,0,14,61,11,0,0,3,0,18,0
모  로  코,남,0,4,14,3,0,15,3,0,12,0
모  로  코,여,0,12,17,6,0,28,3,0,23,0
에티오피아,남,0,32,90,95,1,0,4,0,13,0
에티오피아,여,0,19,26,1,0,2,1,1,5,0
우  간  다,남,1,11,102,14,0,1,1,0,35,0
우  간  다,여,0,3,44,1,0,1,0,0,6,0
리  비  아,남,0,1,2,2,0,0,2,0,2,0
리  비  아,여,0,1,1,0,0,0,0,0,3,0
라이베리아,남,0,1,12,1,0,0,0,0,5,0
라이베리아,여,0,0,4,0,0,0,0,0,2,0
케      냐,남,0,24,58,11,0,0,2,1,27,0
케      냐,여,1,14,30,2,0,2,1,2,3,0
세  네  갈,남,0,1,9,1,0,0,0,0,4,0
세  네  갈,여,0,3,4,0,0,1,2,0,3,0
수      단,남,0,1,11,8,0,0,1,0,5,0
수      단,여,0,0,1,2,0,0,2,0,4,0
알  제  리,남,0,3,15,6,0,2,1,0,2,0
알  제  리,여,0,2,13,5,0,1,2,0,4,0
튀  니  지,남,0,1,7,2,0,2,0,0,1,0
튀  니  지,여,0,3,2,8,0,0,6,0,2,0
코트디부아르,남,0,5,10,5,0,1,0,0,7,0
코트디부아르,여,0,2,1,0,0,1,0,0,1,0
콩고민주공화국,남,0,10,31,13,0,0,1,2,6,0
콩고민주공화국,여,0,6,5,0,0,0,0,0,1,0
르  완  다,남,0,11,70,12,0,0,4,0,9,0
르  완  다,여,2,14,13,1,0,1,1,0,3,0
탄 자 니 아,남,1,9,42,18,0,0,4,0,13,0
탄 자 니 아,여,0,4,14,3,0,0,2,0,3,0
기      니,남,0,2,1,0,0,0,0,0,17,0
기      니,여,0,0,1,0,0,0,0,0,12,0
말      리,남,0,0,3,0,0,1,0,0,70,0
말      리,여,0,0,0,0,0,0,0,0,11,0
앙  골  라,남,0,8,2,0,0,0,0,0,3,0
앙  골  라,여,0,5,1,0,0,0,0,0,0,0
짐 바 브 웨,남,0,1,19,6,0,0,1,0,2,0
짐 바 브 웨,여,0,1,8,2,0,0,0,0,0,0
감  비  아,남,0,3,4,1,0,0,0,0,3,0
감  비  아,여,0,0,0,0,0,0,0,0,1,0
잠  비  아,남,3,2,10,1,0,0,0,0,4,0
잠  비  아,여,2,0,6,1,0,0,0,0,4,0
부  룬  디,남,0,1,9,4,0,1,0,0,0,0
부  룬  디,여,0,0,7,1,0,0,0,0,0,0
가      봉,남,0,8,8,2,0,0,1,0,3,0
가      봉,여,0,3,1,0,0,0,1,0,1,0
부르키나파소,남,0,0,3,0,0,1,0,0,2,0
부르키나파소,여,0,2,1,0,0,0,0,0,1,0
토      고,남,0,1,2,1,0,0,0,0,1,0
토      고,여,0,0,0,0,0,2,1,0,0,0
말  라  위,남,0,1,3,3,0,1,0,0,0,0
말  라  위,여,0,1,1,0,0,1,0,0,1,0
모 잠 비 크,남,0,1,10,0,0,0,1,0,0,0
모 잠 비 크,여,0,4,1,0,0,0,0,0,3,0
모 리 셔 스,남,0,0,0,0,0,1,0,0,0,0
모 리 셔 스,여,0,1,1,0,0,0,0,0,1,0
시에라리온,남,0,0,1,1,0,0,0,0,0,0
시에라리온,여,0,0,0,1,0,0,0,0,0,0
마다가스카르,남,0,0,2,0,0,0,0,0,0,0
마다가스카르,여,0,3,4,1,0,1,0,0,0,0
콩      고,남,0,0,3,0,0,0,0,0,0,0
콩      고,여,0,0,1,0,0,0,0,0,0,0
베      냉,남,0,0,3,0,0,0,0,0,1,0
베      냉,여,0,0,1,0,0,0,0,0,0,0
에리트레아,남,0,0,2,1,0,0,0,0,0,0
에리트레아,여,0,1,0,0,0,0,0,0,0,0
남수단공화국,남,0,1,2,1,0,0,0,0,7,0
남수단공화국,여,0,1,0,0,0,0,0,0,0,0
스와질란드,남,0,0,0,0,0,0,0,0,0,0
스와질란드,여,0,0,1,0,0,0,0,0,0,0
모 리 타 니,남,0,1,6,1,0,0,0,0,1,0
모 리 타 니,여,0,0,0,0,0,0,0,0,0,0
기니비사우,남,0,1,0,0,0,0,0,0,0,0
기니비사우,여,0,1,0,0,0,0,0,0,0,0
중앙 아프리카 공화국,남,0,1,4,0,0,0,0,0,2,0
중앙 아프리카 공화국,여,0,0,1,0,0,0,0,0,0,0
차      드,남,0,2,2,1,0,0,0,0,3,0
차      드,여,0,0,0,0,0,1,0,0,0,0
소 말 리 아,남,0,0,1,0,0,0,1,0,1,0
소 말 리 아,여,0,1,1,0,0,0,0,0,1,0
보 츠 와 나,남,0,0,2,1,0,0,0,0,0,0
보 츠 와 나,여,0,0,1,2,0,0,1,0,1,0
코  모  로,남,0,0,1,0,0,0,0,0,0,0
코  모  로,여,0,0,0,0,0,0,0,0,0,0
레  소  토,남,0,0,1,0,0,0,0,0,0,0
레  소  토,여,0,0,1,0,0,0,0,0,0,0
적 도 기 니,남,0,0,0,0,0,0,0,0,0,0
적 도 기 니,여,0,0,1,0,0,0,0,0,0,0
나 미 비 아,남,0,0,0,0,0,0,0,0,0,0
나 미 비 아,여,0,0,1,0,0,0,0,0,0,0
기타,남,0,5,3,0,0,0,0,0,2,0
기타,여,0,1,1,1,0,0,0,0,0,0
